GeneName,EnsemblGeneId,GFP-,10e2 GFP+,log2(fold_change),p_value,q_value
Ankrd50: ankyrin repeat domain 50,ENSGALG00000011831,14.2919,55.7794,1.96453,0.000248119,0.00592061
"ANP32E: acidic (leucine-rich) nuclear phosphoprotein 32 family, member E",ENSGALG00000013464,3.89165,12.4386,1.67637,0.00338771,0.0413561
anti-Mullerian hormone ,ENSGALG00000000827,14.0703,55.1835,1.97158,0.00284371,0.0371785
ANXA11: annexin A11,ENSGALG00000002664,1.85363,9.09319,2.29444,1.94E-07,1.35E-05
"AP1M1: adaptor-related protein complex 1, mu 1 subunit",ENSGALG00000003959,18.4767,57.9617,1.64939,0.00202357,0.0297312
"AP1S2: adaptor-related protein complex 1, sigma 2 subunit",ENSGALG00000016551,11.0376,40.8843,1.88912,0.00339181,0.041369
"AP3B1: adaptor-related protein complex 3, beta 1 subunit",ENSGALG00000004390,19.1496,43.0112,1.16739,1.53E-05,0.000609706
"AP3M2: adaptor-related protein complex 3, mu 2 subunit",ENSGALG00000003659,9.47436,32.0965,1.76032,0.00205946,0.0300573
"AP3S1: adaptor-related protein complex 3, sigma 1 subunit",ENSGALG00000002341,18.4606,61.8785,1.74499,5.38E-05,0.00171558
"AP3S1: adaptor-related protein complex 3, sigma 1 subunit",ENSGALG00000023716,3.99599,13.3946,1.74503,0.003618,0.0432991
"AP4E1: adaptor-related protein complex 4, epsilon 1 subunit",ENSGALG00000004776,11.5498,24.057,1.05859,8.15E-05,0.00238725
API5: apoptosis inhibitor 5,ENSGALG00000023382,17.0398,53.6767,1.65539,0.00231973,0.032574
"APPL1: adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper containing 1",ENSGALG00000005527,16.2341,43.1934,1.41178,3.26E-05,0.00116296
AQR: aquarius homolog (mouse),ENSGALG00000009838,26.1041,76.4419,1.55009,5.04E-05,0.0016322
ARFGAP1: ADP-ribosylation factor GTPase activating protein 1,ENSGALG00000005781,8.01757,23.4618,1.54908,5.43E-10,6.85E-08
ARFGEF2: ADP-ribosylation factor guanine nucleotide-exchange factor 2 (brefeldin A-inhibited),ENSGALG00000004663,7.68144,25.3045,1.71994,9.74E-05,0.00275763
ARFIP1: ADP-ribosylation factor interacting protein 1,ENSGALG00000010105,21.3446,52.071,1.28661,1.50E-06,8.00E-05
ARGL1: Arginine and glutamate-rich protein 1,ENSGALG00000016855,24.2696,65.3313,1.42862,0.000207481,0.00512083
ARHGAP11A: Rho GTPase activating protein 11A,ENSGALG00000009731,11.6742,41.7679,1.83907,5.67E-06,0.000255987
ARHGAP31: Rho GTPase activating protein 31,ENSGALG00000015077,59.8934,201.935,1.75343,2.08E-08,1.84E-06
ARHGEF18: Rho/Rac guanine nucleotide exchange factor (GEF) 18,ENSGALG00000003572,9.28882,21.1294,1.18569,0.000244907,0.00586194
ARID1A:AT rich interactive domain 1A ,ENSGALG00000000319,42.3935,90.9674,1.1015,0.000131084,0.00353653
ARID3B: AT rich interactive domain 3B (BRIGHT-like),ENSGALG00000001376,7.92272,24.8283,1.64792,0.00134329,0.021903
ARL5A: ADP-ribosylation factor-like 5A,ENSGALG00000012509,11.0687,39.782,1.84562,0.000663492,0.012765
ARMC1:Armadillo repeat-containing protein 1,ENSGALG00000000062,7.33896,26.2595,1.83919,0,0
ARMC4: armadillo repeat containing 4,ENSGALG00000007417,2.46825,20.7876,3.07417,7.52E-05,0.00224491
ARNTL2: aryl hydrocarbon receptor nuclear translocator-like 2,ENSGALG00000014096,4.38958,10.5478,1.26478,0.00110058,0.0190395
"ARPC5: actin related protein 2/3 complex, subunit 5, 16kDa",ENSGALG00000020927,22.8349,86.5142,1.9217,1.79E-06,9.27E-05
ARSH: arylsulfatase H,ENSGALG00000016636,1.79818,5.35814,1.57519,0.00360456,0.0432047
"ARSK: arylsulfatase family, member K",ENSGALG00000014672,2.82719,8.07782,1.5146,2.68E-06,0.000132064
ASF1A: ASF1 anti-silencing function 1 homolog A (S. cerevisiae),ENSGALG00000014887,117.13,408.426,1.80197,1.25E-08,1.17E-06
ASNS: asparagine synthetase (glutamine-hydrolyzing),ENSGALG00000009748,44.561,197.183,2.14568,5.00E-05,0.00162401
ASPH: aspartate beta-hydroxylase,ENSGALG00000015479,57.4098,118.318,1.0433,0.00432896,0.0488515
ASXL1: additional sex combs like 1,ENSGALG00000006612,6.66733,14.0481,1.07519,5.02E-05,0.0016287
ATE1: arginyltransferase 1,ENSGALG00000009502,9.70582,21.877,1.17249,4.70E-05,0.00154595
ATF2: activating transcription factor 2,ENSGALG00000009287,4.44221,16.9649,1.9332,1.06E-05,0.000439085
ATG16L1: autophagy related 16-like 1 (S. cerevisiae),ENSGALG00000001619,12.1723,38.4647,1.65993,2.42E-06,0.000120081
"ATP11A: ATPase, class VI, type 11A",ENSGALG00000016835,6.49134,15.5902,1.26405,4.64E-09,4.83E-07
"ATP2C1: ATPase, Ca++ transporting, type 2C, member 1",ENSGALG00000011580,13.5176,46.0897,1.7696,9.95E-06,0.000415444
"ATP6AP1: ATPase, H+ transporting, lysosomal accessory protein 1",ENSGALG00000008836,8.52927,36.2961,2.08932,0.000292923,0.00678842
"ATP6V1C1: ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C1",ENSGALG00000016066,3.29289,15.1581,2.20266,2.58E-12,5.67E-10
"ATP6V1H: ATPase, H+ transporting, lysosomal 50/57kDa, V1 subunit H",ENSGALG00000013621,2.21241,6.83401,1.62711,0.00293185,0.0379061
"ATP9B: ATPase, class II, type 9B",ENSGALG00000012656,10.2371,20.5023,1.00198,9.50E-05,0.00269942
ATPAF1: ATP synthase mitochondrial F1 complex assembly factor 1,ENSGALG00000010444,4.38055,11.5452,1.39811,0.00218137,0.0311928
ATRIP: ATR interacting protein,ENSGALG00000004670,16.4049,35.9255,1.13088,0.0014439,0.0230324
"B4GALNT4: beta-1,4-N-acetyl-galactosaminyl transferase 4",ENSGALG00000004250,8.92202,37.0404,2.05366,2.22E-16,9.09E-14
"B4GALT1: UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 1",ENSGALG00000002022,4.08219,11.3897,1.48031,0.00220677,0.0314539
"B4GALT6: UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 6",ENSGALG00000015151,11.4863,28.2156,1.29657,0.00305208,0.0390281
BAG1: BCL2-associated athanogene,ENSGALG00000013157,7.46608,35.1191,2.23383,0.00010937,0.00303854
BAG3: BCL2-associated athanogene 3,ENSGALG00000009433,52.936,122.129,1.20609,2.00E-15,7.40E-13
BAIAP2L2: BAI1-associated protein 2-like 2,ENSGALG00000012285,0.964187,12.767,3.72696,0.00168341,0.0259655
BCAP29: B-cell receptor-associated protein 29,ENSGALG00000008009,15.2252,50.1502,1.7198,0.00279273,0.0367177
BCCIP: BRCA2 and CDKN1A interacting protein,ENSGALG00000006617,23.9442,93.0274,1.95798,0.000332834,0.00747579
BCL7A: B-cell CLL/lymphoma 7A,ENSGALG00000004379,9.43577,27.6355,1.55031,0.000246984,0.00589954
BCOR: BCL6 corepressor,ENSGALG00000016245,27.3216,60.7086,1.15186,0.00227962,0.0321835
BEND6: BEN domain containing 6,ENSGALG00000016283,5.83925,12.249,1.06881,0.000486763,0.0100173
BFAR: bifunctional apoptosis regulator,ENSGALG00000003111,3.19734,12.9189,2.01454,0.000272242,0.00643047
BLMH: bleomycin hydrolase,ENSGALG00000004259,14.2839,67.1482,2.23296,5.46E-05,0.00173655
BLZF1: basic leucine zipper nuclear factor 1,ENSGALG00000015225,4.04588,15.7373,1.95966,0.000267036,0.00632672
BMP2K: BMP2 inducible kinase,ENSGALG00000010885,26.8214,78.5737,1.55066,8.74E-08,6.69E-06
"BMPR1A: bone morphogenetic protein receptor, type IA",ENSGALG00000002003,12.5445,47.7082,1.92718,3.00E-06,0.000145503
BMS1: BMS1 homolog,ENSGALG00000002624,73.6924,187.733,1.34909,0.000737595,0.0138448
BNIP2: BCL2/adenovirus E1B 19kDa interacting protein 2,ENSGALG00000003788,6.60361,16.06,1.28215,0.00185955,0.0279255
BNIP3L: BCL2/adenovirus E1B 19kDa interacting protein 3-like,ENSGALG00000000231,11.4027,55.9823,2.29559,2.33E-05,0.000880202
"BORA: bora, aurora kinase A activator",ENSGALG00000002139,134.446,304.041,1.17724,1.74E-09,1.99E-07
BRD1: bromodomain containing 1,ENSGALG00000008526,18.6317,50.4734,1.43776,0,0
BRIP1: BRCA1 interacting protein C-terminal helicase 1,ENSGALG00000005279,6.01872,16.7212,1.47415,0.00158184,0.0247256
BTBD3: BTB (POZ) domain containing 3,ENSGALG00000009028,7.62531,18.7546,1.29837,0.00198201,0.0292747
BTBD9: BTB (POZ) domain containing 9 ,ENSGALG00000010131,25.5292,54.8773,1.10406,0.000469379,0.00979776
BUB1: budding uninhibited by benzimidazoles 1 homolog (yeast),ENSGALG00000008233,38.9844,90.4924,1.2149,2.34E-07,1.59E-05
BUD13: BUD13 homolog (S. cerevisiae),ENSGALG00000007046,20.808,46.8813,1.17187,0.00267277,0.0357447
C10orf118: chromosome 10 open reading frame 118,ENSGALG00000008956,10.4786,34.4353,1.71644,0.00103424,0.0180931
C12orf23,ENSGALG00000012640,25.1708,79.5349,1.65983,0.0017838,0.0270647
C12orf5,ENSGALG00000017285,0.693399,5.53265,2.99621,0.00144573,0.0230458
C15orf29: chromosome 15 open reading frame 29,ENSGALG00000009633,3.4418,14.2976,2.05454,0.000771457,0.0142885
C15orf41: chromosome 15 open reading frame 41,ENSGALG00000009801,3.6138,11.5031,1.67043,0.00076897,0.0142825
C16orf52: chromosome 16 open reading frame 52,ENSGALG00000006933,4.04177,13.5333,1.74345,3.74E-12,7.79E-10
C16orf62: chromosome 16 open reading frame 62,ENSGALG00000002119,15.5783,42.7427,1.45614,9.75E-06,0.000409228
C16orf62: chromosome 16 open reading frame 62,ENSGALG00000013895,12.8331,35.2165,1.45638,0.00269752,0.0359932
C17orf28: chromosome 17 open reading frame 28,ENSGALG00000007808,3.04476,7.87102,1.37022,5.12E-05,0.00165332
C17orf39: chromosome 17 open reading frame 39,ENSGALG00000004929,4.19393,15.9257,1.92498,0.000965997,0.0170397
C18orf32,ENSGALG00000018565,4.25123,17.1929,2.01586,0.000317377,0.00720897
C19orf40: chromosome 19 open reading frame 40,ENSGALG00000004764,6.9851,33.8919,2.27859,0.000378088,0.008324
C1D: C1D nuclear receptor corepressor,ENSGALG00000008765,33.142,102.878,1.6342,1.24E-06,6.82E-05
C1D: C1D nuclear receptor corepressor,ENSGALG00000017119,11.573,35.9275,1.63433,0.00119007,0.0199374
C1H21orf91,ENSGALG00000015716,12.8464,31.9296,1.31353,0.00110689,0.0191203
C1orf174: chromosome 1 open reading frame 174,ENSGALG00000000975,5.54597,17.4108,1.65047,0.00293763,0.0379599
C1orf96: chromosome 1 open reading frame 96,ENSGALG00000011084,15.6903,47.0478,1.58425,0.00180878,0.0272861
C2orf40: chromosome 2 open reading frame 40,ENSGALG00000016800,2.62397,20.0313,2.93243,0.000145186,0.00385238
C3orf23: chromosome 3 open reading frame 23,ENSGALG00000011498,15.0924,36.4155,1.27073,0.0030284,0.0387683
C3orf64,ENSGALG00000013406,13.5642,53.8716,1.98973,0,0
C3orf67: chromosome 3 open reading frame 67,ENSGALG00000007168,13.8089,60.2432,2.1252,0.00142777,0.0228219
C4H4orf41,ENSGALG00000010654,7.93688,19.1233,1.26869,5.24E-05,0.00167954
C4orf29: chromosome 4 open reading frame 29,ENSGALG00000010201,5.80326,13.8414,1.25406,0.00192962,0.0286278
C5orf22: chromosome 5 open reading frame 22,ENSGALG00000012909,3.58717,10.5622,1.558,0.00116892,0.0197532
C6orf170: chromosome 6 open reading frame 170,ENSGALG00000014876,2.59064,5.71968,1.14263,0.00083588,0.0151687
C7orf25: chromosome 7 open reading frame 25,ENSGALG00000012333,2.34725,12.8242,2.44983,0.00442457,0.0495471
C7orf26: chromosome 7 open reading frame 26,ENSGALG00000007591,13.395,31.903,1.252,8.59E-09,8.46E-07
C9orf3: chromosome 9 open reading frame 3,ENSGALG00000012615,6.74519,23.293,1.78796,0.00151807,0.0239697
C9orf95,ENSGALG00000015156,5.88373,18.3248,1.63899,9.69E-06,0.000407585
CAB39L: calcium binding protein 39-like,ENSGALG00000017005,5.00246,28.1805,2.49399,4.20E-12,8.64E-10
CADPS: Ca++-dependent secretion activator,ENSGALG00000007268,3.85552,20.4001,2.40358,0,0
Calm1: calmodulin 1,ENSGALG00000010023,72.3888,270.84,1.9036,8.18E-06,0.000351902
CAPN10: calpain 10,ENSGALG00000008310,6.44169,21.0749,1.71002,0.00323933,0.040318
CAPN5: calpain 5,ENSGALG00000000750,4.04,21.3936,2.40475,3.58E-05,0.00124382
"CARS2: cysteinyl-tRNA synthetase 2, mitochondrial (putative)",ENSGALG00000016847,8.17651,25.0043,1.61262,6.88E-05,0.0021042
CASC4: cancer susceptibility candidate 4,ENSGALG00000008208,33.8592,69.1293,1.02975,8.77E-07,5.04E-05
"CASP3: caspase 3, apoptosis-related cysteine peptidase",ENSGALG00000010638,12.1577,43.7378,1.84701,0.000921698,0.0164321
CAST: calpastatin,ENSGALG00000014682,21.2145,54.5833,1.36341,2.05E-07,1.42E-05
CAT: catalase,ENSGALG00000014471,6.61664,21.2867,1.68578,5.93E-05,0.00187761
CAZA: 2F-actin-capping protein subunit alpha-2,ENSGALG00000009385,52.5848,113.943,1.11559,0.00241867,0.03334
CBS: cystathionine-beta-synthase,ENSGALG00000016196,33.6203,83.7957,1.31754,0.00172035,0.0263258
CBWD1: COBW domain containing 1,ENSGALG00000010147,4.70498,32.4277,2.78497,6.95E-09,6.94E-07
CBX3: chromobox homolog 3 ,ENSGALG00000011038,30.6349,130.462,2.09038,1.79E-11,3.29E-09
CCAR1: cell division cycle and apoptosis regulator 1,ENSGALG00000004108,81.7339,192.577,1.23643,0.000279347,0.00655848
CCDC101: coiled-coil domain containing 101,ENSGALG00000020590,35.6188,137.031,1.94379,6.45E-09,6.52E-07
CCDC126: coiled-coil domain containing 126,ENSGALG00000010976,2.67632,10.8964,2.02554,0.00439743,0.0493854
CCDC132: coiled-coil domain containing 132,ENSGALG00000009500,12.3384,26.8432,1.1214,1.19E-07,8.76E-06
CCDC14: coiled-coil domain containing 14,ENSGALG00000011720,7.21849,15.5751,1.10947,0.00122042,0.0203144
CCDC141: coiled-coil domain containing 141,ENSGALG00000020788,17.3064,51.2979,1.5676,1.57E-05,0.000622474
CCDC18: coiled-coil domain containing 18,ENSGALG00000005889,6.45467,16.028,1.31218,0.0012598,0.020792
CCDC3: coiled-coil domain containing 3,ENSGALG00000017722,6.63469,33.6479,2.34241,6.73E-05,0.00208147
CCDC59: coiled-coil domain containing 59,ENSGALG00000010959,5.9824,20.1953,1.75522,0.0032103,0.0401494
CCDC88A: coiled-coil domain containing 88A,ENSGALG00000008104,21.4265,105.394,2.29832,3.68E-05,0.00126404
CCNE1: cyclin E1,ENSGALG00000004494,8.94795,27.2851,1.60848,0.00285866,0.037228
CCNF: cyclin F,ENSGALG00000009201,20.8471,58.6749,1.4929,4.75E-05,0.0015588
CCNG2: cyclin G2,ENSGALG00000010347,16.7062,46.5917,1.47969,0.0043401,0.0489299
CCP110: centriolar coiled coil protein 110kDa,ENSGALG00000006925,10.5557,21.3014,1.01293,1.23E-08,1.16E-06
"CCT8: chaperonin containing TCP1, subunit 8 (theta)",ENSGALG00000015821,226.971,473.231,1.06003,0.00162283,0.0252427
CD151: CD151 antigen,ENSGALG00000006856,12.5807,31.3347,1.31655,0.00257347,0.0347956
CD2AP: CD2-associated protein,ENSGALG00000016720,31.225,65.8652,1.07682,0.000304915,0.00702448
CDC14B: CDC14 cell division cycle 14 homolog B (S. cerevisiae),ENSGALG00000012627,4.95123,17.7107,1.83876,3.33E-07,2.18E-05
CDC45: cell division cycle 45 homolog (S. cerevisiae),ENSGALG00000001616,10.0706,39.8117,1.98305,8.19E-06,0.000351902
CDCA7L: cell division cycle associated 7-like,ENSGALG00000010908,69.6249,333.797,2.2613,3.96E-05,0.00134638
"CDH11: cadherin 11, type 2, OB-cadherin (osteoblast)",ENSGALG00000005278,83.6255,389.815,2.22077,0,0
"CDH7: cadherin 7, type 2",ENSGALG00000013782,8.38284,41.7748,2.31712,3.91E-06,0.000183394
CDKL2: cyclin-dependent kinase-like 2,ENSGALG00000010119,7.77103,19.3473,1.31595,0.000644524,0.0124877
"CDON: cell adhesion associated, oncogene regulated",ENSGALG00000000939,11.143,26.4397,1.24657,0.00114996,0.0196174
CDV3: CDV3 homolog (mouse),ENSGALG00000011713,121.923,264.559,1.11762,3.43E-05,0.00120838
"CELF1: CUGBP, Elav-like family member 1",ENSGALG00000008097,17.5199,47.6235,1.44268,3.00E-07,2.00E-05
"CELSR3: cadherin, EGF LAG seven-pass G-type receptor 3 (flamingo homolog, Drosophila)",ENSGALG00000005730,2.9088,5.96663,1.03649,0.00171506,0.0262799
CENPI: centromere protein I,ENSGALG00000005038,8.47,23.4274,1.46776,5.99E-06,0.000268629
CENPK: centromere protein K,ENSGALG00000014753,4.31709,23.4638,2.44231,0.00139352,0.02249
CENPN: Centromere protein N,ENSGALG00000013494,13.3396,28.7788,1.10929,0.00255292,0.034685
CENPQ: centromere protein Q,ENSGALG00000016692,7.33863,22.1767,1.59546,0.000407381,0.00881098
CENPT: centromere protein T,ENSGALG00000001539,24.5507,56.3884,1.19963,0.00189522,0.0282973
CEP41: centrosomal protein 41kDa,ENSGALG00000008103,1.29124,7.19386,2.478,0.000963263,0.0170043
CEP55: centrosomal protein 55kDa,ENSGALG00000006639,7.68815,20.0415,1.38228,0.00308064,0.0392021
CEP78: centrosomal protein 78kDa,ENSGALG00000015179,7.37592,19.2354,1.38287,0.00202461,0.0297312
CERK: ceramide kinase,ENSGALG00000019397,3.24933,7.0079,1.10884,0.00208116,0.0303242
"CFC1/CFC1B: cripto, FRL-1, cryptic family 1",ENSGALG00000012623,5.17938,42.3292,3.0308,4.06E-05,0.00136638
"CHAF1A: chromatin assembly factor 1, subunit A (p150)",ENSGALG00000001126,24.4952,55.2865,1.17443,0.000177297,0.00450226
CHCHD3: coiled-coil-helix-coiled-coil-helix domain containing 3,ENSGALG00000006489,74.8895,249.704,1.73738,1.11E-15,4.32E-13
CHCHD4: coiled-coil-helix-coiled-coil-helix domain containing 4,ENSGALG00000006328,5.98631,24.345,2.02389,0.00125155,0.0207116
CHD6: chromodomain helicase DNA binding protein 6,ENSGALG00000021511,36.9761,95.0065,1.36143,2.61E-12,5.70E-10
CHEK2: checkpoint kinase 2,ENSGALG00000005695,15.819,32.5319,1.0402,3.45E-07,2.24E-05
"CHFR: checkpoint with forkhead and ring finger domains, E3 ubiquitin protein ligase",ENSGALG00000002180,11.1471,22.8695,1.03675,0.000552257,0.0111392
CHIC2: cysteine-rich hydrophobic domain 2,ENSGALG00000013931,4.35451,27.5979,2.66398,2.20E-06,0.000111353
"CHM7: CHMP family, member 7",ENSGALG00000000409,9.94632,20.9956,1.07785,0.00126964,0.0209248
CHMP5: charged multivesicular body protein 5,ENSGALG00000013160,15.2646,67.3077,2.14058,0.000290486,0.00675205
"CHORDC1: cysteine and histidine-rich domain (CHORD)-containing, zinc binding protein 1",ENSGALG00000017233,12.427,41.2423,1.73065,0.000704306,0.0133196
CHP1: calcineurin-like EF hand protein 1,ENSGALG00000008569,12.1527,37.6067,1.62971,0.00336476,0.041182
CHSY1: chondroitin sulfate synthase 1,ENSGALG00000007154,19.4256,47.9836,1.30458,0.000309968,0.0070919
CIRBP: cold inducible RNA binding protein,ENSGALG00000012225,96.744,329.45,1.76782,3.15E-14,9.43E-12
"CIRH1A: cirrhosis, autosomal recessive 1A (cirhin)",ENSGALG00000000638,0.524396,12.2204,4.54249,2.31E-05,0.000876744
CLK4: CDC-like kinase 4,ENSGALG00000006057,19.0245,46.6161,1.29297,9.86E-09,9.51E-07
CLN8: CLN8 protein ,ENSGALG00000019891,4.52441,13.0201,1.52494,0.00296303,0.0381613
"CLNS1A: chloride channel, nucleotide-sensitive, 1A",ENSGALG00000008574,20.3495,123.178,2.59768,2.69E-05,0.000997699
CLSTN1: calsyntenin 1,ENSGALG00000002606,17.1715,35.2439,1.03736,2.30E-05,0.000874272
CLUAP1: clusterin associated protein 1,ENSGALG00000013395,7.60654,15.3865,1.01636,3.99E-05,0.00134867
CLVS2: clavesin 2,ENSGALG00000014853,2.44739,9.71094,1.98837,0.00213756,0.0307928
CMAS: cytidine monophosphate N-acetylneuraminic acid synthetase,ENSGALG00000013229,3.05416,17.9431,2.55459,1.01E-05,0.000420963
"CMPK1: cytidine monophosphate (UMP-CMP) kinase 1, cytosolic",ENSGALG00000010481,5.69456,28.8849,2.34266,8.59E-05,0.00247627
CMTM4: CKLF-like MARVEL transmembrane domain containing 4,ENSGALG00000005251,4.84782,15.9088,1.71442,0.00239766,0.0331318
"CNBP: CCHC-type zinc finger, nucleic acid binding protein",ENSGALG00000005001,143.076,723.885,2.33898,2.22E-16,9.09E-14
"CNOT6: CCR4-NOT transcription complex, subunit 6",ENSGALG00000006026,21.8156,49.7806,1.19022,0.000169676,0.00434057
COG5: component of oligomeric golgi complex 5,ENSGALG00000008035,17.7318,37.3562,1.07501,6.06E-05,0.00190379
"COL11A1: collagen, type XI, alpha 1",ENSGALG00000005180,16.6887,48.4345,1.53716,1.36E-08,1.25E-06
"COL27A1: collagen, type XXVII, alpha 1 ",ENSGALG00000006958,6.25925,20.1758,1.68857,9.07E-07,5.20E-05
"COL2A1: collagen, type II, alpha 1",ENSGALG00000013587,8.10238,28.3851,1.80872,0.000787025,0.0145192
"COL9A1: collagen, type IX, alpha 1",ENSGALG00000015970,6.48844,61.9857,3.25599,6.08E-09,6.17E-07
"COL9A3: collagen, type IX, alpha 3",ENSGALG00000005628,2.74576,28.1529,3.358,3.80E-07,2.44E-05
COMMD8: COMM domain containing 8,ENSGALG00000014198,14.3053,62.3424,2.12366,0.000591623,0.0116596
