Gene	L3	L4	nhr-67	N2	max_wtLC/N2	RNAi_screen	Protein size(s)	Protein feature	TF	Disease ortholog	Strict human ortholog	NCBI KOG	Bork KOG	PFAM domain	WBPhenotype	NOT WBPheno
WBGene00007994|C37E2.2	24.89	1.24	0	0	2489	WT_RNAi	225 aa	SignalP; Tmhmm				KOG3989 (Beta-2-glycoprotein I)	KOG3989: Beta-2-glycoprotein I; meNOG08088: Androgen-Induced protein 1 (AIG-1)	PF04750: FAR-17a/AIG1-like protein		NOT WBPheno: Bmd; Emb; Let; Ste; Variant; postembryonic development variant
WBGene00015152|B0348.2	0	24.84	0	0	2484		86 aa	Tmhmm; Seg				LSE0687 (Unnamed protein)		PF10601: LITAF-like zinc ribbon domain		NOT WBPheno: Bmd; Emb; Ste; Variant
WBGene00014848|VM106R.1	0	24.26	96.86	0	2426		308 aa				StrictHumOrth		"KOG2723: Uncharacterized conserved protein, contains BTB/POZ domain; meNOG07734: Domain-Containing protein"	PF02214: K+ channel tetramerisation domain	WBPhenotype: reduced brood size	NOT WBPheno: Adl; Emb; Gro; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00000859|C37H5.10|cwp-1	0	23.18	0	0	2318		108 aa	SignalP				LSE0875 (Unnamed protein)				NOT WBPheno: Bmd; Emb; Ste; Variant
WBGene00016162|C27D6.4	0.73	90.21	4.35	0.04	2255.25	nonwt_RNAi	224-329 aa	Seg; Ncoils	Thomas+W_TF		StrictHumOrth	KOG0709 (CREB/ATF family transcription factor)	KOG0709: CREB/ATF family transcription factor; meNOG14631: Camp responsive element-binding protein 3-like	PF00170: bZIP transcription factor; PF07716: Basic region leucine zipper		NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; RNAi resistant; Ste; Stp; Variant; postembryonic development variant
WBGene00013888|ZC412.7|nspa-3	22.55	8.02	0	0	2255		34 aa	SignalP; Tmhmm				LSE0870 (Unnamed protein)				
WBGene00013556|Y75B8A.23	0	22.44	3.57	0	2244		86 aa	Seg								
WBGene00044272|H12D21.13|nspa-4	19.73	4.15	0	0	1973		34 aa	SignalP; Tmhmm				LSE0870 (Unnamed protein)				
WBGene00009818|F47B10.7|acbp-3	19.12	9.84	0.52	0	1912		116 aa					KOG0817 (Acyl-CoA-binding protein)	COG4281: Acyl-CoA-binding protein; KOG0817: Acyl-CoA-binding protein; meNOG08460: Binding domain-containing protein	PF00887: Acyl CoA binding protein		NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00019551|K09C4.6	18.79	0	0	0	1879		205 aa									NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00001331|F09B9.3|erd-2	73.91	26.07	72.91	0.04	1847.75		213 aa	SignalP; Tmhmm			StrictHumOrth	KOG3106 (ER lumen protein retaining receptor)	COG5196: ER lumen protein retaining receptor; KOG3106: ER lumen protein retaining receptor; meNOG05968: ER lumen protein retaining receptor	PF00810: ER lumen protein retaining receptor		NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant; protein aggregation variant; transgene subcellular localization variant
WBGene00017591|F19C7.1	20.57	434.32	101.92	0.24	1809.67		266 aa	SignalP				LSE0547 (Uncharacterized protein)		PF06879: Protein of unknown function (DUF1261)	WBPhenotype: Gro	NOT WBPheno: Adl; Bmd; Emb; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00010377|H12D21.1|nspa-1	13.01	17.34	1.29	0	1734		34 aa	SignalP; Tmhmm				LSE0870 (Unnamed protein)				NOT WBPheno: Variant
WBGene00018019|F33H12.1	0	16.72	0	0	1672		295 aa					LSE1115 (Unnamed protein)		PF00533: BRCA1 C Terminus (BRCT) domain		NOT WBPheno: Bmd; Emb; Gro; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00010897|M28.6|lact-3	16.57	0.98	0	0	1657		431 aa	SignalP; Seg				LSE0720 (Predicted esterase)	COG1680: Beta-lactamase class C and other penicillin binding proteins; euNOG10225: Annotation not available; meNOG26438: Annotation not available	PF00144: Beta-lactamase	WBPhenotype: fat content reduced	NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; fat content variant; organism UV hypersensitive; postembryonic development variant
WBGene00015096|B0261.8	16.42	2.8	51.56	0	1642	WT_RNAi	181 aa	Seg; Ncoils								NOT WBPheno: Let; Variant; postembryonic development variant
WBGene00020125|R173.3	16.33	1.67	0	0	1633	WT_RNAi	581 aa	SignalP; Tmhmm; Seg				KOG1516 (Carboxylesterase and related proteins)	COG2272: Carboxylesterase type B; KOG1516: Carboxylesterase and related proteins; meNOG11887: Carboxylesterase	PF00135: Carboxylesterase; PF07859: alpha/beta hydrolase fold		
WBGene00015374|C03B1.3	16.07	0	0	0	1607		115 aa	Seg				LSE0939 (Unnamed protein)				NOT WBPheno: Bmd; Emb; Gro; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00022816|ZK783.1|fbn-1	0.24	15.76	0	0	1576		2687 aa	SignalP; Tmhmm; Seg		OMIM_2010			KOG1217: Fibrillins and related proteins containing Ca2+-binding EGF-like domains; meNOG05805: Calcium ion binding protein	PF07645: Calcium-binding EGF domain	WBPhenotype: Gro; Let; Lvl; Mlt; Ste; Unc; dead eggs laid; organism hypertonic lethality increased	NOT WBPheno: Bmd; Emb; Variant; distal tip cell migration variant; embryonic development variant; multiple anchor cells; postembryonic development variant
WBGene00010288|F58H1.5	15.74	12.1	0.81	0	1574		323 aa	Tmhmm; Seg								NOT WBPheno: Bmd; Emb; Ste; Variant
WBGene00001636|Y75B8A.9|gly-11	0	15.34	0.16	0	1534	WT_RNAi	436-605 aa	SignalP; Tmhmm; Seg			StrictHumOrth	KOG3736 (Polypeptide N-acetylgalactosaminyltransferase)	KOG3736: Polypeptide N-acetylgalactosaminyltransferase; meNOG05697: Polypeptide N-acetylgalactosaminyltransferase 11 (EC 2.4.1.41)	PF00535: Glycosyl transferase family 2; PF00652: Ricin-type beta-trefoil lectin domain		NOT WBPheno: Bmd; Emb; Let; Ste; Variant; embryonic development variant; postembryonic development variant
WBGene00003700|Y46H3D.5|nhr-110	14.88	0	18.34	0	1488	WT_RNAi	326-424 aa		Walhout_TF			KOG3575 (Hormone receptors)	KOG3575: FOG: Hormone receptors	"PF00105: Zinc finger, C4 type (two domains)"		NOT WBPheno: Bmd; Emb; Let; Ste; Variant; postembryonic development variant
WBGene00021697|Y48G9A.3|gcn-1	14.52	1.11	0	0	1452	WT_RNAi	2680 aa	Seg; Ncoils					"KOG1242: Protein containing adaptin N-terminal region; meNOG05578: Translation factor, nucleic acid binding"	PF02985: HEAT repeat	WBPhenotype: Let; Ste	NOT WBPheno: Bmd; Emb; Variant; postembryonic development variant; rays displaced
WBGene00044271|H12D21.12|nspa-2	13.87	4.01	0	0	1387		34 aa	SignalP; Tmhmm				LSE0870 (Unnamed protein)				
WBGene00019945|R08C7.1	13.86	8.71	0	0	1386	WT_RNAi	47 aa	SignalP; Tmhmm							WBPhenotype: reduced brood size	
WBGene00003657|C08F8.8|nhr-67	12.15	12.87	0.64	0	1287		416 aa	Seg	Walhout_TF		StrictHumOrth	KOG3575 (Hormone receptors)	KOG3575: FOG: Hormone receptors; meNOG06029: Nuclear receptor	"PF00105: Zinc finger, C4 type (two domains)"	WBPhenotype: Adl; Egl D; Emb; Gro; Let; Lvl; Mig; Pvl; Ste; Unc; cell differentiation variant; cell fusion variant; cilia morphology variant; dendrite development variant; ectopic expression transgene; loss of asymmetry ASE; neuronal cell fate specification variant; organism hypertonic lethality increased; pattern of transgene expression variant; small; vulva morphology variant	NOT WBPheno: Lva; SDS sensitive dauer; Stp; Variant; dauer development variant; postembryonic development variant; protein aggregation variant; transgene subcellular localization variant; vulval cell lineage variant
WBGene00016985|C56G3.2	12.66	0	0	0	1266		131 aa	SignalP; Seg				KOG1577 (Aldo/keto reductase family proteins)	KOG1577: Aldo/keto reductase family proteins			NOT WBPheno: Bmd; Emb; Let; Ste; Variant; postembryonic development variant
WBGene00014156|ZK930.6	488.34	48.56	0	0.39	1252.15		206 aa	Seg						PF05362: Lon protease (S16) C-terminal proteolytic domain		NOT WBPheno: Bmd; Emb; Gro; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00001753|R03D7.6|gst-5	6.48	12.36	38.12	0	1236	WT_RNAi	207 aa					KOG1695 (Glutathione S-transferase)	KOG1695: Glutathione S-transferase; meNOG14525: Glutathione protein	"PF00043: Glutathione S-transferase, C-terminal domain; PF02798: Glutathione S-transferase, N-terminal domain"	WBPhenotype: Age; Ced; apoptosis increased; enzyme activity reduced; organism electrophilic stress hypersensitive	NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00008532|F02E9.9	12.09	0.28	9.01	0	1209		707-745 aa	Seg		OMIM_2010	StrictHumOrth		KOG3675: Dipeptidyl peptidase III; meNOG04436: Dipeptidyl peptidase iii	PF03571: Peptidase family M49		NOT WBPheno: Bmd; Emb; Ste; Variant
WBGene00001196|M01D7.7|egl-30	0.73	11.85	1.4	0	1185	WT_RNAi	303-355 aa	Ncoils				"KOG0085 (G protein subunit Galphaq/Galphay, small G protein superfamily)"	"KOG0085: G protein subunit Galphaq/Galphay, small G protein superfamily; meNOG05026: Guanine nucleotide binding protein"	PF00025: ADP-ribosylation factor family; PF00503: G-protein alpha subunit	WBPhenotype: Egl; Egl D; Prl; Slu; bag of worms; drug response variant; egg laying imipramine resistant; egg laying levamisole resistant; egg laying phentolamine resistant; egg laying serotonin resistant; egg retention; harsh body touch resistant; light response variant; movement variant; pharyngeal pumping reduced; serotonin induced pumping variant; thin	NOT WBPheno: Bmd; Emb; Let; Ste; Variant; fat content variant; postembryonic development variant; serotonin induced fat reduction variant
WBGene00004921|F31E8.2|snt-1	11.73	1.54	2.02	0	1173	WT_RNAi	441-443 aa	Tmhmm; Seg; Ncoils			StrictHumOrth	"KOG1028 (Ca2+-dependent phospholipid-binding protein Synaptotagmin, required for synaptic vesicle and secretory granule exocytosis)"	"KOG1028: Ca2+-dependent phospholipid-binding protein Synaptotagmin, required for synaptic vesicle and secretory granule exocytosis; meNOG04646: Synaptotagmin protein"	PF00168: C2 domain	WBPhenotype: backing uncoordinated; evoked postsynaptic current variant; pharyngeal pumping irregular; pharyngeal pumping reduced	NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; coelomocyte uptake defective; loss of asymmetry AWC; postembryonic development variant; protein aggregation variant; protein subcellular localization variant; transgene expression variant; transgene subcellular localization variant
WBGene00012294|W06A7.5|nspa-8	11.72	3.13	0	0	1172		34 aa	SignalP; Tmhmm				LSE0870 (Unnamed protein)				NOT WBPheno: Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00010716|K09C8.4|lge-1	11.62	0	0	0	1162	WT_RNAi	631 aa	SignalP; Tmhmm		OMIM_2010			KOG3765: Predicted glycosyltransferase; meNOG04984: Glycosyltransferase	PF01501: Glycosyl transferase family 8		NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Unc; Variant; organism development variant; postembryonic development variant
WBGene00020615|T20D4.9	0	11.54	0	0	1154	WT_RNAi	443 aa	SignalP; Seg						PF01431: Peptidase family M13		NOT WBPheno: Bmd; Emb; Let; Ste; Variant; postembryonic development variant
WBGene00007407|C07B5.2	11.37	0	1.32	0	1137		116 aa									NOT WBPheno: Bmd; Emb; Gro; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00017193|F07C3.2	0	102.28	17.51	0.09	1136.44		132 aa	SignalP; Tmhmm; Seg								
WBGene00019570|K09E2.1	0	10.88	0	0	1088		915 aa	SignalP; Seg; Ncoils					"KOG3544: Collagens (type IV and type XIII), and related proteins; meNOG07624: Type XII collagen interacts with type I collagen- containing fibrils, the COL1 domain could be associated with the surface of the fibrils, and the COL2 and NC3 domains may be localized in the perifibrillar protein"	PF00092: von Willebrand factor type A domain		NOT WBPheno: Bmd; Emb; Gro; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00021839|Y54E10BL.5|nduf-5	7.07	10.87	8.58	0	1087	WT_RNAi	121 aa					"KOG4110 (NADH:ubiquinone oxidoreductase, NDUFS5/15kDa)"	"KOG4110: NADH:ubiquinone oxidoreductase, NDUFS5/15kDa"	"PF10200: NADH:ubiquinone oxidoreductase, NDUFS5-15kDa"	WBPhenotype: reduced brood size	
WBGene00009279|F31B9.2	0	10.72	0	0	1072		272 aa	Ncoils								NOT WBPheno: Bmd; Emb; Gro; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00001735|K02D7.6|grl-26	0	10.38	0	0	1038		140 aa	SignalP; Seg						PF04155: Ground-like domain		NOT WBPheno: Bmd; Emb; Ste; Variant
WBGene00013239|Y56A3A.22	1.36	10.07	8.97	0	1007	WT_RNAi	263 aa	Tmhmm; Seg				KOG4082 (Uncharacterized conserved protein)	KOG4082: Uncharacterized conserved protein; meNOG14662: Protein C18orf19	PF06916: Protein of unknown function (DUF1279)		NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; embryonic development variant; postembryonic development variant
WBGene00019279|K01A2.4	9.94	0	0	0	994		273 aa	Tmhmm; Seg								NOT WBPheno: Bmd; Emb; Let; Ste; Variant; postembryonic development variant
WBGene00014234|ZK1128.8|vps-29	9.91	1.23	1.14	0	991		187-191 aa				StrictHumOrth	"KOG3325 (Membrane coat complex Retromer, subunit VPS29/PEP11)"	"COG0622: Predicted phosphoesterase; KOG3325: Membrane coat complex Retromer, subunit VPS29/PEP11; meNOG07011: Essential component of the retromer complex, a complex required to retrieve lysosomal enzyme receptors (IGF2R and M6PR) from endosomes to the trans-Golgi network. Also required to regulate transcytosis of the polymeric immunoglobulin receptor . Has low protein phosphatase activity towards a serine-phosphorylated peptide derived from IGF2R"		WBPhenotype: Mig; Q neuroblast lineage migration variant; cell division polarity variant	NOT WBPheno: Bmd; Emb; Glo; Let; Ste; Variant; embryonic development variant; gut granule development variant; nervous system development variant; phasmid socket absent; postembryonic development variant
WBGene00004024|Y75B8A.1|php-3	0.46	9.78	5.45	0	978	WT_RNAi	275 aa	Seg	Thomas+W_TF		StrictHumOrth	"KOG0487 (Transcription factor Abd-B, contains HOX domain)"	"KOG0487: Transcription factor Abd-B, contains HOX domain; meNOG21856: Homeobox protein abdominal-B"	PF00046: Homeobox domain	WBPhenotype: Vab; posterior body morphology variant	NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; embryonic development variant; postembryonic development variant
WBGene00014033|ZK643.1|arrd-15	0	9.76	1.85	0	976		342-374 aa						KOG3780: Thioredoxin binding protein TBP-2/VDUP1	"PF00339: Arrestin (or S-antigen), N-terminal domain; PF02752: Arrestin (or S-antigen), C-terminal domain"		NOT WBPheno: Bmd; Emb; Let; Ste; Variant; embryonic development variant; postembryonic development variant
WBGene00018690|F52D2.8|fbxa-46	9.75	0	0	0	975		116-309 aa							PF00646: F-box domain; PF01827: FTH domain		NOT WBPheno: Bmd; Emb; Ste; Variant
WBGene00003114|C32C4.5|mab-23	0	9.39	0	0	939		70-175 aa	Seg	Thomas+W_TF					PF00751: DM DNA binding domain		NOT WBPheno: Bmd; Emb; Let; Ste; Variant
WBGene00008037|C40C9.4	9.24	0	31.31	0	924		71 aa	Seg								NOT WBPheno: Bmd; Emb; Gro; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00044139|F42D1.4	0	9.18	0	0	918		75 aa	Tmhmm								
WBGene00010057|F54D5.15	0	9.06	0	0	906		488-563 aa	Seg; Ncoils								NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00011902|T21E8.4	117.41	0	0.79	0.13	903.15		146 aa									
WBGene00001123|C43C3.3|dyf-7	0	8.78	65.76	0	878		446 aa	SignalP; Tmhmm; Seg						PF00100: Zona pellucida-like domain	WBPhenotype: Daf; Dyf; ammonium chloride chemotaxis defective; dauer defective; male mating efficiency reduced; short	NOT WBPheno: Bmd; Emb; Slu; Ste; Variant; light body touch resistant
WBGene00018848|F55A3.2	0	8.78	0	0	878		786 aa	Seg							WBPhenotype: Ste	NOT WBPheno: Bmd; Emb; Gro; Lva; Lvl; Stp; Variant; postembryonic development variant
WBGene00015124|B0303.2	8.72	0	0	0	872		273 aa				StrictHumOrth	TWOG0173 (Phenylethanolamine N-methyltransferase/indolethylamine N-methyltransferase/nicotinamide N-methyltransferase)	NOG71857: N-Methyltransferase; euNOG06999: N-Methyltransferase; meNOG15070: N-Methyltransferase	PF01234: NNMT/PNMT/TEMT family		NOT WBPheno: Bmd; Emb; Let; Ste; Variant; embryonic development variant; postembryonic development variant
WBGene00013870|ZC373.5	8.7	0	0	0	870		263 aa				StrictHumOrth	KOG2631 (Class II aldolase/adducin N-terminal domain protein)	COG0235: Ribulose-5-phosphate 4-epimerase and related epimerases and aldolases; KOG2631: Class II aldolase/adducin N-terminal domain protein; meNOG06778: APAF1 interacting protein	PF00596: Class II Aldolase and Adducin N-terminal domain	WBPhenotype: Unc	NOT WBPheno: Bmd; Emb; Let; Ste; Variant; postembryonic development variant
WBGene00012162|VZC374L.1	41.67	0	0	0.05	833.4	WT_RNAi	359 aa					KOG1006 (Mitogen-activated protein kinase (MAPK) kinase MKK4)	COG0515: Serine/threonine protein kinase; KOG1006: Mitogen-activated protein kinase (MAPK) kinase MKK4; meNOG06028: Mitogen-Activated proteinkinase kinase 4	PF00069: Protein kinase domain; PF07714: Protein tyrosine kinase		NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant; transgene expression reduced
WBGene00002110|ZC334.11|ins-27	0	8.3	0	0	830		83 aa	SignalP; Tmhmm						PF03488: Nematode insulin-related peptide beta type		
WBGene00015782|C14F11.7	449.28	0	48.61	0.56	802.29		82 aa	SignalP								NOT WBPheno: Bmd; Emb; Ste; Variant
WBGene00021813|Y53G8AR.6	8	0	0	0	800		253 aa	Seg				"KOG4259 (Putative nucleic acid-binding protein Hcc-1/proliferation associated cytokine-inducible protein, contains SAP domain)"	"KOG4259: Putative nucleic acid-binding protein Hcc-1/proliferation associated cytokine-inducible protein, contains SAP domain"	PF02037: SAP domain	WBPhenotype: Emb	NOT WBPheno: Bmd; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00004389|Y47G6A.20|rnp-6	6.53	54.66	19.74	0.07	780.86		339-749 aa	Seg; Ncoils			StrictHumOrth	KOG0124 (Polypyrimidine tract-binding protein PUF60 (RRM superfamily))	COG0724: RNA-binding proteins (RRM domain); KOG0124: Polypyrimidine tract-binding protein PUF60 (RRM superfamily); meNOG06151: Fuse-Binding protein-interacting repressor	"PF00076: RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"	WBPhenotype: Egl; Emb; Gro; Let; Lvl; Pvl; Rup; Ste; Unc; axon fasciculation variant; axon guidance variant; axon midline crossing variant; cord commissures fail to reach target; pattern of transgene expression variant; receptor mediated endocytosis defective; ventral cord patterning variant	NOT WBPheno: Adl; Bmd; Lva; Stp; Variant; postembryonic development variant
WBGene00018675|F52C9.5	0	7.53	0	0	753		618 aa	SignalP; Seg						PF00024: PAN domain		NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; embryonic development variant; postembryonic development variant
WBGene00014104|ZK849.6	0	7.39	0	0	739		65 aa	SignalP; Tmhmm								
WBGene00021662|Y48G1BL.1	7.39	0	0.95	0	739		318 aa	Seg				KOG2664 (Small nuclear RNA activating protein complex - 50kD subunit (SNAP50))	KOG2664: Small nuclear RNA activating protein complex - 50kD subunit (SNAP50)	PF12251: snRNA-activating protein of 50kDa MW C terminal		
WBGene00012658|Y39A1A.21	1.97	7.37	19.91	0	737	WT_RNAi	188 aa	Tmhmm; Seg			StrictHumOrth	KOG4058 (Uncharacterized conserved protein)	COG0500: SAM-dependent methyltransferases; KOG4058: Uncharacterized conserved protein; meNOG08890: Annotation not available			NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00003661|K11E4.5|nhr-71	2399.96	31.38	0	3.29	729.47	WT_RNAi	578-581 aa		Walhout_TF			KOG3575 (Hormone receptors)	KOG3575: FOG: Hormone receptors	"PF00104: Ligand-binding domain of nuclear hormone receptor; PF00105: Zinc finger, C4 type (two domains)"		NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
WBGene00001953|C02B8.4|hlh-8	2.71	4627.92	0	6.39	724.24	nonwt_RNAi	178 aa	Seg	Thomas+W_TF	OMIM_2010	StrictHumOrth	KOG4447 (Transcription factor TWIST)	"KOG4447: Transcription factor TWIST; meNOG14299: Probable transcription factor, which seems to be involved in the negative regulation of cellular determination and in the differentiation of several lineages including myogenesis, osteogenesis, and neurogenesis. Inhibits myogenesis by sequestrating E proteins, inhibiting trans-activation by MEF2, and inhibiting DNA-binding by MYOD1 through physical interaction. This interaction involves the basic domains of both proteins (By similarity). Also represses expression of proinflammatory cytokines such as TNFA and"	PF00010: Helix-loop-helix DNA-binding domain	WBPhenotype: Con; Egl; Egl D; Gro; Let; M lineage variant; Ste; anoxia hypersensitive; axon morphology variant; ectopic axon outgrowth; gene expression level reduced; mRNA expression variant; reduced brood size; transgene expression reduced; vulva morphology variant; vulval muscle variant	NOT WBPheno: Adl; Bmd; Emb; Lva; Lvl; Stp; Variant; anchor cell invasion variant; postembryonic development variant
WBGene00006055|C14A11.7|ssr-2	0	7.05	5.24	0	705		320 aa				StrictHumOrth		COG1100: GTPase SAR1 and related small G proteins; KOG0395: Ras-related GTPase; meNOG20924: Protein involved in small GTPase mediated signal transduction	PF00071: Ras family; PF08477: Miro-like protein		NOT WBPheno: Bmd; Emb; Gro; Let; Lva; Lvl; Ste; Stp; Variant; postembryonic development variant
